INDEX	LAE	BF	D100	ADG
H380	42.06	18.8	150	0.67
H381	34.15	11.2	141	0.71
H382	40.28	20.6	151	0.66
H383	44.2	14.3	156	0.64
H384	45.35	17.3	145	0.69
H385	45.8	13.1	151	0.66
H386	49.89	11.2	151	0.66
H387	40.22	15.1	170	0.59
H388	39.17	15	155	0.65
H389	40.93	14.4	146	0.68
H390	40.82	12.2	163	0.61
H391	36.45	13	145	0.69
H392	46.23	15	152	0.66
H393	43.14	13.1	165	0.61
H394	41.44	16.4	158	0.63
H395	35.48	21.3	127	0.79
H396	43.44	12.4	149	0.67
H397	49.21	13.7	145	0.69
H398	47.41	11.6	151	0.66
H399	47.2	12.2	149	0.67
H400	37.78	17.4	140	0.71
